Guidance	Cantrip	Divination		1 action	VS	yes	phb 248
Light	Cantrip	Evocation		1 action	VM		phb 255
Mending	Cantrip	Transmutation		1 minute	VSM		phb 259
Resistance	Cantrip	Abjuration		1 action	VSM	yes	phb 272
Sacred Flame	Cantrip	Evocation		1 action	VS		phb 272
Spare the Dying	Cantrip	Necromancy		1 action	VS		phb 277
Thaumaturgy	Cantrip	Transmutation		1 action	V		phb 282
Toll the Dead	Cantrip	Necromancy		1 action	VS		xge 169
Word of Radiance	Cantrip	Evocation		1 action	VM		xge 171
Bane	1st	Enchantment		1 action	VSM	yes	phb 216
Bless	1st	Enchantment		1 action	VSM	yes	phb 219
Ceremony	1st	Abjuration	yes	1 hour	VSMgp		xge 151
Command	1st	Enchantment		1 action	V		phb 223
Create or Destroy Water	1st	Transmutation		1 action	VSM		phb 229
Cure Wounds	1st	Evocation		1 action	VS		phb 230
Detect Evil and Good	1st	Divination		1 action	VS	yes	phb 231
Detect Magic	1st	Divination	yes	1 action	VS	yes	phb 231
Detect Poison and Disease	1st	Divination	yes	1 action	VSM	yes	phb 231
Guiding Bolt	1st	Evocation		1 action	VS		phb 248
Healing Word	1st	Evocation		1 bonus action	V		phb 250
Inflict Wounds	1st	Necromancy		1 action	VS		phb 253
Protection from Evil and Good	1st	Abjuration		1 action	VSM	yes	phb 270
Purify Food and Drink	1st	Transmutation	yes	1 action	VS		phb 270
Sanctuary	1st	Abjuration		1 bonus action	VSM		phb 272
Shield of Faith	1st	Abjuration		1 bonus action	VSM	yes	phb 275
Aid	2nd	Abjuration		1 action	VSM		phb 211
Augury	2nd	Divination	yes	1 minute	VSMgp		phb 215
Blindness/Deafness	2nd	Necromancy		1 action	V		phb 219
Calm Emotions	2nd	Enchantment		1 action	VS	yes	phb 221
Continual Flame	2nd	Evocation		1 action	VSMgp		phb 227
Enhance Ability	2nd	Transmutation		1 action	VSM	yes	phb 237
Find Traps	2nd	Divination		1 action	VS		phb 241
Gentle Repose	2nd	Necromancy	yes	1 action	VSM		phb 245
Hold Person	2nd	Enchantment		1 action	VSM	yes	phb 251
Lesser Restoration	2nd	Abjuration		1 action	VS		phb 255
Locate Object	2nd	Divination		1 action	VSM	yes	phb 256
Prayer of Healing	2nd	Evocation		10 minutes	V		phb 267
Protection from Poison	2nd	Abjuration		1 action	VS		phb 270
Silence	2nd	Illusion	yes	1 action	VS	yes	phb 275
Spiritual Weapon	2nd	Evocation		1 bonus action	VS		phb 278
Warding Bond	2nd	Abjuration		1 action	VSMgp		phb 287
Zone of Truth	2nd	Enchantment		1 action	VS		phb 289
Animate Dead	3rd	Necromancy		1 minute	VSM		phb 212
Beacon of Hope	3rd	Abjuration		1 action	VS	yes	phb 217
Bestow Curse	3rd	Necromancy		1 action	VS	yes	phb 218
Clairvoyance	3rd	Divination		10 minutes	VSMgp	yes	phb 222
Create Food and Water	3rd	Conjuration		1 action	VS		phb 229
Daylight	3rd	Evocation		1 action	VS		phb 230
