Acid Splash	Cantrip	Conjuration		1 action	VS		phb 211
Blade Ward	Cantrip	Abjuration		1 action	VS		phb 218
Booming Blade	Cantrip	Evocation		1 action	VM		scag 142
Chill Touch	Cantrip	Necromancy		1 action	VS		phb 221
Control Flames	Cantrip	Transmutation		1 action	S		ee 16, xge 152
Create Bonfire	Cantrip	Conjuration		1 action	VS	yes	ee 16, xge 152
Dancing Lights	Cantrip	Evocation		1 action	VSM	yes	phb 230
Fire Bolt	Cantrip	Evocation		1 action	VS		phb 242
Friends	Cantrip	Enchantment		1 action	SM	yes	phb 244
Frostbite	Cantrip	Evocation		1 action	VS		ee 18, xge 156
Green-Flame Blade	Cantrip	Evocation		1 action	VM		scag 143
Gust	Cantrip	Transmutation		1 action	VS		ee 19, xge 157
Infestation	Cantrip	Conjuration		1 action	VSM		xge 158
Light	Cantrip	Evocation		1 action	VM		phb 255
Lightning Lure	Cantrip	Evocation		1 action	V		scag 143
Mage Hand	Cantrip	Conjuration		1 action	VS		phb 256
Mending	Cantrip	Transmutation		1 minute	VSM		phb 259
Message	Cantrip	Transmutation		1 action	VSM		phb 259
Minor Illusion	Cantrip	Illusion		1 action	SM		phb 260
Mold Earth	Cantrip	Transmutation		1 action	S		ee 21, xge 162
Poison Spray	Cantrip	Conjuration		1 action	VS		phb 266
Prestidigitation	Cantrip	Transmutation		1 action	VS		phb 267
Ray of Frost	Cantrip	Evocation		1 action	VS		phb 271
Shape Water	Cantrip	Transmutation		1 action	S		ee 21
Shocking Grasp	Cantrip	Evocation		1 action	VS		phb 275
Sword Burst	Cantrip	Conjuration		1 action	V		scag 143
Thunderclap	Cantrip	Evocation		1 action	S		ee 22, xge 168
True Strike	Cantrip	Divination		1 action	S	yes	phb 284
Absorb Elements	1st	Abjuration		1 reaction	S		ee 15, xge 150
Burning Hands	1st	Evocation		1 action	VS		phb 220
Catapult	1st	Transmutation		1 action	S		ee 15, xge 150
Chaos Bolt	1st	Evocation		1 action	VS		xge 151
Charm Person	1st	Enchantment		1 action	VS		phb 221
Chromatic Orb	1st	Evocation		1 action	VSMgp		phb 221
Color Spray	1st	Illusion		1 action	VSM		phb 222
Comprehend Languages	1st	Divination	yes	1 action	VSM		phb 224
Detect Magic	1st	Divination	yes	1 action	VS	yes	phb 231
Disguise Self	1st	Illusion		1 action	VS		phb 233
Earth Tremor	1st	Evocation		1 action	VS		ee 17, xge 155
Expeditious Retreat	1st	Transmutation		1 bonus action	VS	yes	phb 238
False Life	1st	Necromancy		1 action	VSM		phb 239
Feather Fall	1st	Transmutation		1 reaction	VM		phb 239
Fog Cloud	1st	Conjuration		1 action	VS	yes	phb 243
Ice Knife	1st	Conjuration		1 action	SM		ee 19, xge 157
Jump	1st	Transmutation		1 action	VSM		phb 254
Mage Armor	1st	Abjuration		1 action	VSM		phb 256
Magic Missile	1st	Evocation		1 action	VS		phb 257
Ray of Sickness	1st	Necromancy		1 action	VS		phb 271
Shield	1st	Abjuration		1 reaction	VS		phb 275
Silent Image	1st	Illusion		1 action	VSM	yes	phb 276
Sleep	1st	Enchantment		1 action	VSM		phb 276
Thunderwave	1st	Evocation		1 action	VS		phb 282
Witch Bolt	1st	Evocation		1 action	VSM	yes	phb 289
Aganazzar's Scorcher	2nd	Evocation		1 action	VSM		ee 15, xge 150
Alter Self	2nd	Transmutation		1 action	VS	yes	phb 211
Blindness/Deafness	2nd	Necromancy		1 action	V		phb 219
Blur	2nd	Illusion		1 action	V	yes	phb 219
Cloud of Daggers	2nd	Conjuration		1 action	VSM	yes	phb 222
Crown of Madness	2nd	Enchantment		1 action	VS	yes	phb 229
Darkness	2nd	Evocation		1 action	VM	yes	phb 230
Darkvision	2nd	Transmutation		1 action	VSM		phb 230
Detect Thoughts	2nd	Divination		1 action	VSM	yes	phb 231
Dragon's Breath	2nd	Transmutation		1 bonus action	VSM	yes	xge 154
Dust Devil	2nd	Conjuration		1 action	VSM	yes	ee 17, xge 154
Earthbind	2nd	Transmutation		1 action	V	yes	ee 17, xge 154
Enhance Ability	2nd	Transmutation		1 action	VSM	yes	phb 237
Enlarge/Reduce	2nd	Transmutation		1 action	VSM	yes	phb 237
Gust of Wind	2nd	Evocation		1 action	VSM	yes	phb 248
Hold Person	2nd	Enchantment		1 action	VSM	yes	phb 251
Invisibility	2nd	Illusion		1 action	VSM	yes	phb 254
Knock	2nd	Transmutation		1 action	V		phb 254
Levitate	2nd	Transmutation		1 action	VSM	yes	phb 255
